,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
5378,Chopper,beige,Occasion,805.0,Benzin,False,57.0,5990,342.0,237,16400.0,Kawasaki
5379,Chopper,schwarz,Occasion,805.0,Benzin,False,33.0,5500,329.0,224,49000.0,Kawasaki
5380,Chopper,schwarz,Occasion,805.0,Benzin,False,55.0,12500,329.0,177,26230.0,Kawasaki
5381,Chopper,blau,Occasion,805.0,Benzin,False,33.0,3750,329.0,261,34490.0,Kawasaki
5382,Chopper,schwarz,Occasion,805.0,Benzin,False,0.0,17950,244.0,295,16800.0,Kawasaki
5383,Chopper,schwarz,Occasion,903.0,Benzin,False,50.0,5150,353.0,142,22417.0,Kawasaki
5384,Chopper,schwarz,Occasion,903.0,Benzin,False,50.0,5900,353.0,115,11900.0,Kawasaki
5385,Chopper,weiss,Occasion,903.0,Benzin,True,50.0,5490,353.0,41,21000.0,Kawasaki
5386,Chopper,blau,Occasion,903.0,Benzin,False,50.0,4500,353.0,152,14000.0,Kawasaki
5387,Chopper,orange,Occasion,903.0,Benzin,False,50.0,5490,353.0,68,32000.0,Kawasaki
5388,Chopper,grau,Occasion,903.0,Benzin,False,50.0,7790,353.0,80,8600.0,Kawasaki
5389,Chopper,blau matt.,Occasion,903.0,Benzin,False,34.0,8880,357.0,129,24500.0,Kawasaki
5390,Chopper,bordeaux,Occasion,903.0,Benzin,False,50.0,4800,357.0,156,31000.0,Kawasaki
5391,Chopper,schwarz,Occasion,903.0,Benzin,False,50.0,5950,357.0,102,17275.0,Kawasaki
5392,Chopper,schwarz matt.,Occasion,903.0,Benzin,False,50.0,5190,357.0,135,20000.0,Kawasaki
5393,Chopper,schwarz,Occasion,903.0,Benzin,False,0.0,15950,357.0,12,1.0,Kawasaki
5394,Chopper,grau,Occasion,903.0,Benzin,False,0.0,39500,357.0,130,1500.0,Kawasaki
